street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,raw_gap,m_i,weight_eta,W_FPG
七宝镇,2199.0,2465,91.0,377.0,0.8920892494929006,0.2413793103448276,0.650709939148073,0.650709939148073,0.16896386201954577,0.10994646437296203
万祥镇,1.0,117,6.0,32.0,0.008547008547008548,0.1875,-0.17895299145299146,0.17895299145299146,0.007954467530140953,-0.001423475759934412
三星镇,3.0,58,16.0,20.0,0.05172413793103448,0.8,-0.7482758620689656,0.7482758620689656,0.003908660769120986,-0.0029247565065491517
三林镇,4103.0,4504,11.0,205.0,0.9109680284191829,0.05365853658536585,0.857309491833817,0.857309491833817,0.3087842007605579,0.26472362624034523
上钢新村街道,151.0,158,0.0,22.0,0.9556962025316456,0.0,0.9556962025316456,0.9556962025316456,0.010765960364070085,0.010288987436547992
东平林场,4.0,4,8.0,8.0,1.0,1.0,0.0,0.0,0.00020571898784847294,0.0
东明路街道,703.0,824,26.0,34.0,0.8531553398058253,0.7647058823529411,0.08844945745288413,0.08844945745288413,0.05643557566643108,0.004991696048737018
中兴镇,8.0,225,7.0,12.0,0.035555555555555556,0.5833333333333334,-0.5477777777777778,0.5477777777777778,0.01536035109268598,-0.008414058987437988
中山街道,1736.0,1930,143.0,243.0,0.8994818652849741,0.588477366255144,0.3110044990298301,0.3110044990298301,0.1322773091865681,0.04113883827658255
临汾路街道,0.0,10,2.0,30.0,0.0,0.06666666666666667,-0.06666666666666667,0.06666666666666667,0.0006171569635454188,-4.114379756969458e-05
九亭镇,2314.0,2601,95.0,359.0,0.8896578239138793,0.2646239554317549,0.6250338684821244,0.6250338684821244,0.17828978946867655,0.11143715682247042
书院镇,98.0,248,33.0,60.0,0.3951612903225806,0.55,-0.15483870967741942,0.15483870967741942,0.016937529999524272,-0.0026225852902489206
五角场街道,1031.0,1164,67.0,258.0,0.8857388316151202,0.2596899224806202,0.6260489091345001,0.6260489091345001,0.07975039428925801,0.04992764734783624
五里桥街道,1320.0,1417,24.0,54.0,0.9315455187014821,0.4444444444444444,0.48710107425703764,0.48710107425703764,0.09709936226447922,0.04729720366870109
亭林镇,96.0,196,2.0,24.0,0.4897959183673469,0.08333333333333333,0.4064625850340136,0.4064625850340136,0.013371734210150742,0.0054351096534456245
仙霞新村街道,202.0,202,7.0,16.0,1.0,0.4375,0.5625,0.5625,0.013783172185847688,0.007753034354539324
佘山镇,590.0,783,4.0,122.0,0.7535121328224776,0.03278688524590164,0.720725247576576,0.720725247576576,0.053624082832501946,0.03864823037552178
共和新路街道,838.0,895,10.0,26.0,0.9363128491620112,0.38461538461538464,0.5516974645466266,0.5516974645466266,0.061304258378844935,0.03382140391352004
凉城新村街道,354.0,387,0.0,37.0,0.9147286821705426,0.0,0.9147286821705426,0.9147286821705426,0.026469176436503518,0.024212114879902442
前卫农场,256.0,273,8.0,16.0,0.9377289377289377,0.5,0.43772893772893773,0.43772893772893773,0.018651854898261547,0.00816445663129031
北外滩街道,187.0,194,2.0,32.0,0.9639175257731959,0.0625,0.9014175257731959,0.9014175257731959,0.013234588218251759,0.01192988976632359
北新泾街道,462.0,511,24.0,24.0,0.9041095890410958,1.0,-0.09589041095890416,0.09589041095890416,0.0349722279342404,-0.00335350130876278
北蔡镇,586.0,698,71.0,101.0,0.839541547277937,0.7029702970297029,0.13657125024823402,0.13657125024823402,0.04779537817679522,0.006527474553692083
