street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,W_FPG
七宝镇,2199.0,2465,91.0,377.0,0.8920892494929006,0.2413793103448276,0.007915124599062422
万祥镇,1.0,117,6.0,32.0,0.008547008547008548,0.1875,-0.0001033185294843326
三星镇,3.0,58,16.0,20.0,0.05172413793103448,0.8,-0.00021416234887737477
三林镇,4103.0,4504,11.0,205.0,0.9109680284191829,0.05365853658536585,0.019054142369699045
上钢新村街道,151.0,158,0.0,22.0,0.9556962025316456,0.0,0.0007451270663705896
东平林场,4.0,4,8.0,8.0,1.0,1.0,0.0
东明路街道,703.0,824,26.0,34.0,0.8531553398058253,0.7647058823529411,0.0003596464492532767
中兴镇,8.0,225,7.0,12.0,0.035555555555555556,0.5833333333333334,-0.0006081914631137429
中山街道,1736.0,1930,143.0,243.0,0.8994818652849741,0.588477366255144,0.002961947609807906
临汾路街道,0.0,10,2.0,30.0,0.0,0.06666666666666667,-3.2897442223867092e-06
九亭镇,2314.0,2601,95.0,359.0,0.8896578239138793,0.2646239554317549,0.008022270377113278
书院镇,98.0,248,33.0,60.0,0.3951612903225806,0.55,-0.00018948926720947453
五角场街道,1031.0,1164,67.0,258.0,0.8857388316151202,0.2596899224806202,0.0035959582049472395
五里桥街道,1320.0,1417,24.0,54.0,0.9315455187014821,0.4444444444444444,0.003405981851577707
亭林镇,96.0,196,2.0,24.0,0.4897959183673469,0.08333333333333333,0.0003931244345752118
仙霞新村街道,202.0,202,7.0,16.0,1.0,0.4375,0.0005606957809030348
佘山镇,590.0,783,4.0,122.0,0.7535121328224776,0.03278688524590164,0.0027847415191337723
共和新路街道,838.0,895,10.0,26.0,0.9363128491620112,0.38461538461538464,0.0024365617111731103
凉城新村街道,354.0,387,0.0,37.0,0.9147286821705426,0.0,0.0017468541820873428
前卫农场,256.0,273,8.0,16.0,0.9377289377289377,0.5,0.0005896866518628177
北外滩街道,187.0,194,2.0,32.0,0.9639175257731959,0.0625,0.0008629410313348137
北新泾街道,462.0,511,24.0,24.0,0.9041095890410958,1.0,-0.0002417962003454233
北蔡镇,586.0,698,71.0,101.0,0.839541547277937,0.7029702970297029,0.00047040085207632545
半淞园路街道,2.0,5,17.0,18.0,0.4,0.9444444444444444,-1.3433122241412395e-05
