station_id,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,W_FPG
10004,4.0,4,8.0,8.0,1.0,1.0,0.0
10008,0.0,9,8.0,16.0,0.0,0.5,-2.220577350111029e-05
10012,0.0,5,0.0,1.0,0.0,0.0,0.0
10018,0.0,3,8.0,16.0,0.0,0.5,-7.401924500370096e-06
10022,0.0,7,0.0,1.0,0.0,0.0,0.0
10023,0.0,1,8.0,16.0,0.0,0.5,-2.467308166790032e-06
10025,0.0,3,0.0,1.0,0.0,0.0,0.0
10027,0.0,3,8.0,16.0,0.0,0.5,-7.401924500370096e-06
10031,0.0,1,8.0,8.0,0.0,1.0,-4.934616333580064e-06
10032,0.0,1,8.0,16.0,0.0,0.5,-2.467308166790032e-06
10037,0.0,2,8.0,8.0,0.0,1.0,-9.869232667160129e-06
10038,0.0,18,8.0,8.0,0.0,1.0,-8.882309400444115e-05
10039,0.0,17,8.0,16.0,0.0,0.5,-4.194423883543054e-05
10040,0.0,7,8.0,8.0,0.0,1.0,-3.454231433506045e-05
10041,0.0,7,0.0,5.0,0.0,0.0,0.0
10042,0.0,3,0.0,1.0,0.0,0.0,0.0
10052,35.0,85,8.0,8.0,0.4117647058823529,1.0,-0.0002467308166790032
10053,220.0,340,0.0,1.0,0.6470588235294118,0.0,0.001085615593387614
10055,0.0,94,0.0,5.0,0.0,0.0,0.0
10056,0.0,39,1.0,1.0,0.0,1.0,-0.00019245003700962251
10057,0.0,34,2.0,2.0,0.0,1.0,-0.00016777695534172217
10060,0.0,1,0.0,4.0,0.0,0.0,0.0
10061,0.0,51,0.0,1.0,0.0,0.0,0.0
10062,54.0,57,0.0,1.0,0.9473684210526315,0.0,0.0002664692820133235
10063,0.0,92,0.0,1.0,0.0,0.0,0.0
10065,18.0,18,1.0,1.0,1.0,1.0,0.0
10067,0.0,10,8.0,8.0,0.0,1.0,-4.934616333580064e-05
10070,36.0,36,1.0,1.0,1.0,1.0,0.0
10071,1.0,1,1.0,1.0,1.0,1.0,0.0
10072,0.0,80,0.0,1.0,0.0,0.0,0.0
10074,0.0,1,0.0,8.0,0.0,0.0,0.0
10075,0.0,36,0.0,8.0,0.0,0.0,0.0
10076,1.0,1,2.0,2.0,1.0,1.0,0.0
10078,1.0,10,8.0,16.0,0.1,0.5,-1.9738465334320257e-05
10079,6.0,6,4.0,4.0,1.0,1.0,0.0
10080,5.0,5,8.0,8.0,1.0,1.0,0.0
10081,3.0,31,8.0,8.0,0.0967741935483871,1.0,-0.00013816925734024178
10082,0.0,41,0.0,14.0,0.0,0.0,0.0
10083,19.0,21,24.0,24.0,0.9047619047619048,1.0,-9.869232667160129e-06
10084,0.0,4,0.0,3.0,0.0,0.0,0.0
10089,0.0,3,8.0,8.0,0.0,1.0,-1.4803849000740193e-05
10090,10.0,10,4.0,4.0,1.0,1.0,0.0
10091,3.0,13,8.0,8.0,0.23076923076923078,1.0,-4.934616333580064e-05
10092,0.0,12,0.0,10.0,0.0,0.0,0.0
10094,6.0,6,0.0,16.0,1.0,0.0,2.9607698001480386e-05
10095,3.0,3,4.0,4.0,1.0,1.0,0.0
10096,0.0,19,0.0,1.0,0.0,0.0,0.0
10098,1.0,25,8.0,16.0,0.04,0.5,-5.6748087836170736e-05
10099,2.0,2,0.0,1.0,1.0,0.0,9.869232667160129e-06
10103,4.0,4,0.0,2.0,1.0,0.0,1.9738465334320257e-05
10104,73.0,82,1.0,3.0,0.8902439024390244,0.3333333333333333,0.00022534747923348957
10105,28.0,29,8.0,8.0,0.9655172413793104,1.0,-4.9346163335800575e-06
10107,53.0,55,4.0,4.0,0.9636363636363636,1.0,-9.869232667160132e-06
10111,12.0,14,8.0,16.0,0.8571428571428571,0.5,2.467308166790032e-05
10112,0.0,43,5.0,9.0,0.0,0.5555555555555556,-0.00011788250130219043
10114,2.0,18,8.0,8.0,0.1111111111111111,1.0,-7.895386133728101e-05
10115,1.0,10,8.0,8.0,0.1,1.0,-4.441154700222058e-05
10116,0.0,10,8.0,8.0,0.0,1.0,-4.934616333580064e-05
10117,0.0,3,8.0,8.0,0.0,1.0,-1.4803849000740193e-05
10119,0.0,11,0.0,3.0,0.0,0.0,0.0
10120,0.0,55,0.0,1.0,0.0,0.0,0.0
10121,0.0,38,0.0,1.0,0.0,0.0,0.0
10122,0.0,101,0.0,1.0,0.0,0.0,0.0
10125,96.0,102,1.0,1.0,0.9411764705882353,1.0,-2.9607698001480392e-05
10131,0.0,14,0.0,2.0,0.0,0.0,0.0
10132,4.0,4,0.0,12.0,1.0,0.0,1.9738465334320257e-05
10135,10.0,10,0.0,12.0,1.0,0.0,4.934616333580064e-05
10137,0.0,45,0.0,8.0,0.0,0.0,0.0
10138,4.0,4,8.0,8.0,1.0,1.0,0.0
10139,2.0,121,3.0,3.0,0.01652892561983471,1.0,-0.0005872193436960276
10140,2.0,2,2.0,2.0,1.0,1.0,0.0
10143,4.0,4,4.0,4.0,1.0,1.0,0.0
10144,0.0,17,8.0,8.0,0.0,1.0,-8.388847767086108e-05
10145,2.0,5,16.0,16.0,0.4,1.0,-1.4803849000740191e-05
10146,0.0,5,0.0,1.0,0.0,0.0,0.0
10147,0.0,43,0.0,1.0,0.0,0.0,0.0
10149,0.0,1,1.0,1.0,0.0,1.0,-4.934616333580064e-06
10152,0.0,16,0.0,3.0,0.0,0.0,0.0
10153,2.0,3,8.0,8.0,0.6666666666666666,1.0,-4.934616333580065e-06
10154,0.0,25,0.0,19.0,0.0,0.0,0.0
10156,182.0,197,8.0,16.0,0.9238578680203046,0.5,0.00041204046385393537
10158,14.0,27,0.0,9.0,0.5185185185185185,0.0,6.90846286701209e-05
10159,0.0,1,0.0,6.0,0.0,0.0,0.0
10160,0.0,4,0.0,6.0,0.0,0.0,0.0
10161,0.0,30,0.0,6.0,0.0,0.0,0.0
10162,0.0,1,0.0,6.0,0.0,0.0,0.0
10165,30.0,30,3.0,3.0,1.0,1.0,0.0
10166,0.0,127,0.0,2.0,0.0,0.0,0.0
10167,0.0,4,1.0,1.0,0.0,1.0,-1.9738465334320257e-05
10171,0.0,15,0.0,1.0,0.0,0.0,0.0
10172,0.0,21,1.0,1.0,0.0,1.0,-0.00010362694300518135
10173,0.0,1,1.0,1.0,0.0,1.0,-4.934616333580064e-06
10176,20.0,30,3.0,3.0,0.6666666666666666,1.0,-4.9346163335800646e-05
10177,0.0,38,3.0,3.0,0.0,1.0,-0.00018751542067604245
10178,42.0,68,3.0,3.0,0.6176470588235294,1.0,-0.00012830002467308164
10179,0.0,112,0.0,10.0,0.0,0.0,0.0
10181,16.0,25,8.0,8.0,0.64,1.0,-4.441154700222058e-05
10185,0.0,14,0.0,3.0,0.0,0.0,0.0
10186,0.0,1,0.0,3.0,0.0,0.0,0.0
10187,26.0,26,4.0,4.0,1.0,1.0,0.0
10193,1.0,66,0.0,2.0,0.015151515151515152,0.0,4.934616333580064e-06
10194,0.0,10,8.0,16.0,0.0,0.5,-2.467308166790032e-05
10195,0.0,12,0.0,1.0,0.0,0.0,0.0
10197,0.0,8,8.0,16.0,0.0,0.5,-1.9738465334320257e-05
10201,4.0,56,4.0,4.0,0.07142857142857142,1.0,-0.0002566000493461634
10204,24.0,25,2.0,2.0,0.96,1.0,-4.9346163335800685e-06
10205,23.0,53,8.0,8.0,0.4339622641509434,1.0,-0.00014803849000740192
10206,1.0,16,8.0,8.0,0.0625,1.0,-7.401924500370096e-05
10207,0.0,36,0.0,6.0,0.0,0.0,0.0
10208,0.0,1,8.0,8.0,0.0,1.0,-4.934616333580064e-06
10209,0.0,12,0.0,1.0,0.0,0.0,0.0
10213,2.0,58,8.0,8.0,0.034482758620689655,1.0,-0.00027633851468048356
10214,0.0,31,0.0,1.0,0.0,0.0,0.0
10215,8.0,40,3.0,3.0,0.2,1.0,-0.00015790772267456206
10217,0.0,6,2.0,2.0,0.0,1.0,-2.9607698001480386e-05
10219,0.0,11,1.0,1.0,0.0,1.0,-5.428077966938071e-05
10220,207.0,222,0.0,8.0,0.9324324324324325,0.0,0.0010214655810510732
10221,23.0,25,4.0,4.0,0.92,1.0,-9.869232667160123e-06
10222,0.0,57,10.0,10.0,0.0,1.0,-0.00028127313101406365
10223,2.0,2,10.0,10.0,1.0,1.0,0.0
10224,199.0,222,10.0,10.0,0.8963963963963963,1.0,-0.00011349617567234153
10226,0.0,3,10.0,10.0,0.0,1.0,-1.4803849000740193e-05
