station_id,Time_Window,vehicleposition_longitude,vehicleposition_latitude,W_FPG,abs_w_fpg,delta_s,Delta_s,Sigma_s
10008,LateNight_00-02,121.463,31.678,-9.470978216750102e-05,9.470978216750102e-05,0.0,7,16.0
10012,LateNight_00-02,121.48899999999999,31.655666666666665,0.0,0.0,0.0,3,1.0
10022,LateNight_00-02,121.471,31.654,0.0,0.0,0.0,6,1.0
10025,LateNight_00-02,121.534,31.636,0.0,0.0,0.0,1,1.0
10027,LateNight_00-02,121.468,31.662,-1.3529968881071573e-05,1.3529968881071573e-05,0.0,1,16.0
10038,LateNight_00-02,121.43533333333332,31.67422222222222,-0.00024353943985928832,0.00024353943985928832,0.0,9,8.0
10039,LateNight_00-02,121.4625,31.652300000000004,-0.00013529968881071573,0.00013529968881071573,0.0,10,16.0
10040,LateNight_00-02,121.5135,31.6265,-5.411987552428629e-05,5.411987552428629e-05,0.0,2,8.0
10041,LateNight_00-02,121.436,31.644,0.0,0.0,0.0,7,5.0
10042,LateNight_00-02,121.474,31.628,0.0,0.0,0.0,1,1.0
10052,LateNight_00-02,121.80810714285714,31.500071428571427,-0.0006223785685292924,0.0006223785685292924,5.0,28,8.0
10053,LateNight_00-02,121.84034848484848,31.52371212121212,0.00027059937762143147,0.00027059937762143147,10.0,66,1.0
10055,LateNight_00-02,121.45351162790698,31.614837209302326,0.0,0.0,0.0,43,5.0
10056,LateNight_00-02,121.59346666666667,31.619333333333334,-0.0004058990664321472,0.0004058990664321472,0.0,15,1.0
10057,LateNight_00-02,121.47999999999999,31.5952,-0.00027059937762143147,0.00027059937762143147,0.0,10,2.0
10061,LateNight_00-02,121.83209090909091,31.532545454545456,0.0,0.0,0.0,22,1.0
10062,LateNight_00-02,121.401,31.648,0.0,0.0,0.0,1,1.0
10063,LateNight_00-02,121.40757894736844,31.63971052631579,0.0,0.0,0.0,38,1.0
10065,LateNight_00-02,121.413,31.629,0.0,0.0,1.0,1,1.0
10067,LateNight_00-02,121.518,30.832,-2.7059937762143145e-05,2.7059937762143145e-05,0.0,1,8.0
10072,LateNight_00-02,121.5469117647059,31.588911764705887,0.0,0.0,0.0,34,1.0
10075,LateNight_00-02,121.48053333333334,30.837933333333336,0.0,0.0,0.0,15,8.0
10078,LateNight_00-02,120.983,31.09375,-5.411987552428629e-05,5.411987552428629e-05,0.0,4,16.0
10079,LateNight_00-02,120.937,31.063,0.0,0.0,1.0,1,4.0
10080,LateNight_00-02,120.936,31.064,0.0,0.0,1.0,1,8.0
10081,LateNight_00-02,120.97946666666667,31.028666666666666,-0.0003788391286700041,0.0003788391286700041,1.0,15,8.0
10082,LateNight_00-02,121.03393750000001,31.0043125,0.0,0.0,0.0,16,14.0
10084,LateNight_00-02,120.957,31.074,0.0,0.0,0.0,1,3.0
10089,LateNight_00-02,121.085,31.043,-2.7059937762143145e-05,2.7059937762143145e-05,0.0,1,8.0
10090,LateNight_00-02,121.0335,30.894,0.0,0.0,2.0,2,4.0
10091,LateNight_00-02,121.07800000000002,30.911999999999995,-8.117981328642944e-05,8.117981328642944e-05,0.0,3,8.0
10092,LateNight_00-02,121.068,30.867,0.0,0.0,0.0,6,10.0
10094,LateNight_00-02,121.03,30.893,5.411987552428629e-05,5.411987552428629e-05,2.0,2,16.0
10096,LateNight_00-02,121.039,30.863,0.0,0.0,0.0,8,1.0
10098,LateNight_00-02,121.164,30.891,-9.470978216750102e-05,9.470978216750102e-05,0.0,7,16.0
10099,LateNight_00-02,121.153,30.894,2.7059937762143145e-05,2.7059937762143145e-05,1.0,1,1.0
10104,LateNight_00-02,121.018,30.899,3.6079917016190865e-05,3.6079917016190865e-05,3.0,5,3.0
10105,LateNight_00-02,121.016,30.893,0.0,0.0,4.0,4,8.0
10107,LateNight_00-02,121.063,30.933,0.0,0.0,4.0,4,4.0
10111,LateNight_00-02,121.147,30.7875,0.0,0.0,1.0,2,16.0
10112,LateNight_00-02,121.19470588235293,30.793294117647058,-0.0002555660788646853,0.0002555660788646853,0.0,17,9.0
10114,LateNight_00-02,121.26,31.754,-0.00021647950209714516,0.00021647950209714516,0.0,8,8.0
10115,LateNight_00-02,121.235,31.784,-2.7059937762143145e-05,2.7059937762143145e-05,0.0,1,8.0
10116,LateNight_00-02,121.133,30.867,-8.117981328642944e-05,8.117981328642944e-05,0.0,3,8.0
10117,LateNight_00-02,121.275,31.73,-2.7059937762143145e-05,2.7059937762143145e-05,0.0,1,8.0
10119,LateNight_00-02,121.30799999999999,31.759,0.0,0.0,0.0,2,3.0
10120,LateNight_00-02,121.37647999999999,31.75608,0.0,0.0,0.0,25,1.0
10121,LateNight_00-02,121.30465,31.7185,0.0,0.0,0.0,20,1.0
